Order	Name	Born	Birthplace	BirthplaceCoords	Died	Deathplace	DeathplaceCoords	Age	Race	Sex
1	Betsy Baker	1842	England (UK)	"[52.262209, -0.986156]"	1905	USA	"[38.224768, -98.836951]"	113.18	White	F
2	Jennie Howell	1845	England (UK)	"[52.262209, -0.986156]"	1956	USA	"[38.224768, -98.836951]"	111.85	White	F
3	Anne Marie Carstenson	1849	Denmark	"[56.107772, 9.431042]"	1958	USA	"[38.224768, -98.836951]"	109.18	White	F
4	Nancy Ryan	1849	USA	"[38.224768, -98.836951]"	1958	USA	"[38.224768, -98.836951]"	109.12	White	F
5	Christina Karnebeek-Backs	1849	Netherlands	"[52.062644, 5.603461]"	1959	Netherlands	"[52.062644, 5.603461]"	110.01	White	F
6	Marie Olsen	1850	Norway	"[61.374022, 9.469664]"	1959	Norway	"[61.374022, 9.469664]"	109.57	White	F
7	Mary Kelly	1851	USA	"[38.224768, -98.836951]"	1964	USA	"[38.224768, -98.836951]"	113.56	White	F
8	Elizabeth Kensley	1855	England (UK)	"[52.262209, -0.986156]"	1965	England (UK)	"[52.262209, -0.986156]"	109.82	White	F
9	William Fullingim	1855	USA	"[38.224768, -98.836951]"	1965	USA	"[38.224768, -98.836951]"	110.08	White	M
10	Hannah Smith	1856	England (UK)	"[52.262209, -0.986156]"	1966	England (UK)	"[52.262209, -0.986156]"	110.01	White	F
11	John Turner	1856	England (UK)	"[52.262209, -0.986156]"	1968	England (UK)	"[52.262209, -0.986156]"	111.77	White	M
12	Johanna Booysen	1857	South Africa	"[-29.599707, 24.110539]"	1968	South Africa	"[-29.599707, 24.110539]"	111.41	White	F
13	Marie Bernatkova	1857	Czechoslovakia	"[50.063905, 14.439555]"	1969	Czechoslovakia	"[50.063905, 14.439555]"	111.53	White	F
14	Ada Roe	1858	England (UK)	"[52.262209, -0.986156]"	1970	England (UK)	"[52.262209, -0.986156]"	111.93	White	F
15	Josefa Salas Mateo	1860	Spain	"[40.001616, -3.473459]"	1973	Spain	"[40.001616, -3.473459]"	112.62	White	F
16	Alice Stevenson	1861	England (UK)	"[52.262209, -0.986156]"	1973	England (UK)	"[52.262209, -0.986156]"	112.11	White	F
17	Elizabeth Watkins	1863	North Ireland (UK)	"[54.581191, -6.656157]"	1973	North Ireland (UK)	"[54.581191, -6.656157]"	110.64	White	F
18	Mito Umeta	1863	Japan	"[36.045534, 137.902870]"	1975	Japan	"[36.045534, 137.902870]"	112.18	East Asian	F
19	Niwa Kawamoto	1863	Japan	"[36.045534, 137.902870]"	1976	Japan	"[36.045534, 137.902870]"	113.28	East Asian	F
